1960	920	129	6.14	NA	1320	0.02	NA	286	NA	NA	NA	366.5	316.91
1961	829	110	6.57	1155	1405	0.02	267	325	NA	NA	NA	337.6	317.65
1962	1308	251	4.21	NA	1495	0.02	NA	373	NA	NA	NA	309.5	318.45
1963	831	64	11.90	NA	1591	0.02	357	420	NA	0.71	NA	299.2	318.99
1964	912	152	5.02	NA	1692	0.02	NA	472	NA	0.46	NA	250.5	319.52
1965	656	159	3.11	2071	1801	0.02	439	518	NA	NA	NA	240.2	320.03
1966	938	137	5.84	2216	1916	0.02	NA	577	NA	0.86	NA	240	321.37
1967	700	96	6.27	2474	2039	0.02	484	626	NA	0.70	NA	226.6	322.18
1968	1090	121	8.02	2278	2169	0.02	NA	697	NA	0.72	NA	211.3	323.05
1969	605	92	5.60	NA	2308	0.02	NA	731	NA	0.53	NA	195.4	324.62
1970	912	122	6.48	3189	2455	0.02	NA	796	NA	0.67	NA	189	325.68
1971	734	168	3.36	NA	2613	0.02	693	842	578.1	0.36	NA	179.8	326.32
1972	870	312	1.79	2800	2780	0.02	773	901	102.1	0.40	NA	182.9	327.46
1973	924	201	3.61	3000	2958	0.02	NA	964	NA	0.50	NA	185	329.68
1974	916	220	3.16	3320	3147	0.02	NA	1024	NA	0.15	NA	189.5	330.25
1975	776	224	2.46	2328	3349	0.02	NA	1057	NA	0.06	NA	198.6	331.15
1976	775	207	2.74	NA	3563	0.02	NA	1087	NA	0.12	NA	207.1	332.15
1977	847	164	4.18	2500	3584	0.06	1443	1127	52.3	0.27	NA	213.8	333.9
1978	908	173	4.26	NA	3294	0.12	1251	1174	12.9	NA	NA	222.4	335.5
1979	883	106	7.33	NA	2931	0.14	NA	1212	NA	NA	NA	229.4	336.85
1980	782	122	5.39	NA	2481	0.17	1337	1222	280.2	NA	NA	231.9	338.69
1981	825	121	5.81	NA	2064	0.18	NA	1241	NA	NA	NA	249.1	339.93
1982	676	161	3.21	NA	1687	0.19	1212	1212	20.3	0.05	NA	265.9	341.13
1983	803	201	2.99	NA	1379	0.19	NA	1227	NA	NA	NA	295	342.78
1984	641	152	3.22	1834	1148	0.18	1337	1188	94.3	NA	NA	327.3	344.42
1985	776	129	5.00	NA	971	0.17	NA	1200	NA	0.23	NA	359.9	345.9
1986	724	118	5.14	467	850	0.15	1148	1195	73.8	0.31	NA	395	347.15
1987	912	139	5.56	NA	769	0.13	NA	1236	NA	0.30	NA	415.3	348.93
1988	894	161	4.57	NA	707	0.12	NA	1269	NA	0.23	NA	485.9	351.48
1989	861	185	3.65	500	680	0.09	NA	1290	92.6	NA	NA	591.3	352.91
1990	913	135	5.78	NA	744	0	NA	1320	NA	NA	NA	667.3	354.19
1991	735	188	2.90	NA	813	0	1225	1296	48.0	NA	NA	735	355.59
1992	680	163	3.16	980	888	0	NA	1256	NA	NA	NA	763.7	356.37
1993	679	63	9.86	NA	971	0	NA	1225	NA	NA	NA	835.5	357.04
1994	682	157	3.34	1357	1061	0	919	1201	28.4	NA	NA	825.7	358.88
1995	777	165	3.72	NA	1160	0	NA	1211	NA	NA	NA	876.9	360.88
1996	838	239	2.51	NA	1268	0	NA	1235	NA	NA	NA	931	362.64
1997	551	77	6.16	NA	1386	0	NA	1149	NA	NA	NA	1002	363.76
1998	1004	143	6.03	2015	1515	0	924	1209	22.0	NA	NA	1025	366.63
1999	619	96	5.45	NA	1656	0	1298	1165	NA	0.50	1260	1044	368.31
2000	475	81	4.86	1613	1810	0	1249	1055	74.3	0.10	NA	1135	369.48
2001	838	191	3.40	NA	1978	0	NA	1097	NA	0.27	NA	1190	371.02
2002	759	79	8.63	NA	2162	0	NA	1118	NA	0.49	NA	1235	373.1
2003	896	168	4.33	2360	2363	0	NA	1164	NA	0.29	NA	1221	375.64
